"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043138","MF","GO:0043138","3'-5' DNA helicase activity","1/37","16/28438",0.0206206946459457,0.0958478196189348,0.0612828164425158,"Blm",1
"GO:0140666","MF","GO:0140666","annealing activity","1/37","16/28438",0.0206206946459457,0.0958478196189348,0.0612828164425158,"Blm",1
"GO:0000400","MF","GO:0000400","four-way junction DNA binding","1/37","17/28438",0.0218956589094773,0.0958478196189348,0.0612828164425158,"Blm",1
"GO:0008559","MF","GO:0008559","ABC-type xenobiotic transporter activity","1/37","17/28438",0.0218956589094773,0.0958478196189348,0.0612828164425158,"Abcc10",1
"GO:0008234","MF","GO:0008234","cysteine-type peptidase activity","2/37","182/28438",0.0234270538994359,0.0958478196189348,0.0612828164425158,"Casp4/Psmd14",2
"GO:0016780","MF","GO:0016780","phosphotransferase activity, for other substituted phosphate groups","1/37","19/28438",0.0244407445522316,0.0958478196189348,0.0612828164425158,"Cept1",1
"GO:0016500","MF","GO:0016500","protein-hormone receptor activity","1/37","20/28438",0.025710869906803,0.0958478196189348,0.0612828164425158,"Igf1r",1
"GO:0070122","MF","GO:0070122","isopeptidase activity","1/37","20/28438",0.025710869906803,0.0958478196189348,0.0612828164425158,"Psmd14",1
"GO:0070628","MF","GO:0070628","proteasome binding","1/37","20/28438",0.025710869906803,0.0958478196189348,0.0612828164425158,"Psmd14",1
"GO:1990381","MF","GO:1990381","ubiquitin-specific protease binding","1/37","20/28438",0.025710869906803,0.0958478196189348,0.0612828164425158,"Derl2",1
"GO:0042975","MF","GO:0042975","peroxisome proliferator activated receptor binding","1/37","21/28438",0.0269793862631076,0.0958478196189348,0.0612828164425158,"Asxl1",1
"GO:0140318","MF","GO:0140318","protein transporter activity","1/37","21/28438",0.0269793862631076,0.0958478196189348,0.0612828164425158,"Igf1r",1
"GO:0032794","MF","GO:0032794","GTPase activating protein binding","1/37","22/28438",0.0282462956028778,0.0977756386253464,0.0625154180684476,"Tsc1",1
"GO:0004518","MF","GO:0004518","nuclease activity","2/37","208/28438",0.0299828680003584,0.101192179501209,0.0646998730534049,"Neil2/Rnaseh1",2
"GO:0016863","MF","GO:0016863","intramolecular oxidoreductase activity, transposing C=C bonds","1/37","24/28438",0.0307753011479032,0.10133330865773,0.0647901076797961,"Ebp",1
"GO:0016405","MF","GO:0016405","CoA-ligase activity","1/37","26/28438",0.0332979023483779,0.106477172674732,0.0680789720025574,"Aacs",1
"GO:0005158","MF","GO:0005158","insulin receptor binding","1/37","28/28438",0.0358141149729955,0.106477172674732,0.0680789720025574,"Igf1r",1
"GO:0016891","MF","GO:0016891","endoribonuclease activity, producing 5'-phosphomonoesters","1/37","28/28438",0.0358141149729955,0.106477172674732,0.0680789720025574,"Rnaseh1",1
"GO:0005520","MF","GO:0005520","insulin-like growth factor binding","1/37","29/28438",0.0370698304867584,0.106477172674732,0.0680789720025574,"Igf1r",1
"GO:0016878","MF","GO:0016878","acid-thiol ligase activity","1/37","29/28438",0.0370698304867584,0.106477172674732,0.0680789720025574,"Aacs",1
"GO:0140359","MF","GO:0140359","ABC-type transporter activity","1/37","29/28438",0.0370698304867584,0.106477172674732,0.0680789720025574,"Abcc10",1
"GO:0042910","MF","GO:0042910","xenobiotic transmembrane transporter activity","1/37","32/28438",0.040827437380924,0.114827167633849,0.0734177602025387,"Abcc10",1
"GO:0042974","MF","GO:0042974","retinoic acid receptor binding","1/37","33/28438",0.0420767996570944,0.115925876606281,0.0741202485903704,"Asxl1",1
"GO:0030332","MF","GO:0030332","cyclin binding","1/37","34/28438",0.0433245785133769,0.116976361986118,0.0747919039599349,"Tnfaip1",1
"GO:0000217","MF","GO:0000217","DNA secondary structure binding","1/37","37/28438",0.0470584340624435,0.121069066851107,0.0774086821192261,"Blm",1
"GO:0044183","MF","GO:0044183","protein folding chaperone","1/37","38/28438",0.0482998987270572,0.121069066851107,0.0774086821192261,"Cct7",1
"GO:0004402","MF","GO:0004402","histone acetyltransferase activity","1/37","39/28438",0.0495397897040675,0.121069066851107,0.0774086821192261,"Hat1",1
"GO:0001965","MF","GO:0001965","G-protein alpha-subunit binding","1/37","40/28438",0.0507781089329473,0.121069066851107,0.0774086821192261,"Igf1r",1
"GO:0016877","MF","GO:0016877","ligase activity, forming carbon-sulfur bonds","1/37","40/28438",0.0507781089329473,0.121069066851107,0.0774086821192261,"Aacs",1
"GO:0016799","MF","GO:0016799","hydrolase activity, hydrolyzing N-glycosyl compounds","1/37","41/28438",0.0520148583508458,0.121069066851107,0.0774086821192261,"Neil2",1
"GO:0043548","MF","GO:0043548","phosphatidylinositol 3-kinase binding","1/37","41/28438",0.0520148583508458,0.121069066851107,0.0774086821192261,"Igf1r",1
"GO:0061733","MF","GO:0061733","peptide-lysine-N-acetyltransferase activity","1/37","41/28438",0.0520148583508458,0.121069066851107,0.0774086821192261,"Hat1",1
"GO:0016893","MF","GO:0016893","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","1/37","42/28438",0.0532500398925937,0.121843311618647,0.0779037158107526,"Rnaseh1",1
"GO:0016504","MF","GO:0016504","peptidase activator activity","1/37","43/28438",0.0544836554907051,0.122588224854086,0.0783799956182074,"Psmd14",1
"GO:1901682","MF","GO:1901682","sulfur compound transmembrane transporter activity","1/37","47/28438",0.0594024970161315,0.131002504826344,0.0837598861267854,"Abcc10",1
"GO:0015932","MF","GO:0015932","nucleobase-containing compound transmembrane transporter activity","1/37","48/28438",0.060628311802874,0.131002504826344,0.0837598861267854,"Slc35b1",1
"GO:0030544","MF","GO:0030544","Hsp70 protein binding","1/37","50/28438",0.0630752801015732,0.131002504826344,0.0837598861267854,"Tsc1",1
"GO:0034212","MF","GO:0034212","peptide N-acetyltransferase activity","1/37","50/28438",0.0630752801015732,0.131002504826344,0.0837598861267854,"Hat1",1
"GO:0051879","MF","GO:0051879","Hsp90 protein binding","1/37","50/28438",0.0630752801015732,0.131002504826344,0.0837598861267854,"Tsc1",1
"GO:0017046","MF","GO:0017046","peptide hormone binding","1/37","53/28438",0.0667341080738333,0.136501584696477,0.0872758670184104,"Igf1r",1
"GO:1901505","MF","GO:1901505","carbohydrate derivative transmembrane transporter activity","1/37","54/28438",0.0679506251779822,0.136915438791457,0.0875404754845961,"Slc35b1",1
"GO:0004714","MF","GO:0004714","transmembrane receptor protein tyrosine kinase activity","1/37","59/28438",0.0740101047194813,0.146931825546029,0.0939447149690011,"Igf1r",1
"GO:0016860","MF","GO:0016860","intramolecular oxidoreductase activity","1/37","60/28438",0.0752173927185432,0.147164464014541,0.0940934584732348,"Ebp",1
"GO:0004521","MF","GO:0004521","endoribonuclease activity","1/37","63/28438",0.0788300749605922,0.152029430281142,0.0972040022070461,"Rnaseh1",1
"GO:0005200","MF","GO:0005200","structural constituent of cytoskeleton","1/37","64/28438",0.0800312480787053,0.152172091417257,0.0972952163447566,"Tubd1",1
"GO:0008080","MF","GO:0008080","N-acetyltransferase activity","1/37","75/28438",0.0931439802616177,0.17423847215984,0.111403935416038,"Hat1",1
"GO:0002039","MF","GO:0002039","p53 binding","1/37","76/28438",0.0943269888548672,0.17423847215984,0.111403935416038,"Blm",1
"GO:0019199","MF","GO:0019199","transmembrane receptor protein kinase activity","1/37","77/28438",0.0955084958505787,0.17423847215984,0.111403935416038,"Igf1r",1
"GO:0016835","MF","GO:0016835","carbon-oxygen lyase activity","1/37","80/28438",0.0990440257724339,0.178279246390381,0.113987510362661,"Neil2",1
"GO:0004842","MF","GO:0004842","ubiquitin-protein transferase activity","2/37","415/28438",0.101375629400784,0.180075131172446,0.115135756383162,"Rmnd5b/Tnfaip1",2
"GO:0042562","MF","GO:0042562","hormone binding","1/37","87/28438",0.107241384528592,0.187626627292234,0.119964003414918,"Igf1r",1
"GO:0008047","MF","GO:0008047","enzyme activator activity","1/37","88/28438",0.108406495768846,0.187626627292234,0.119964003414918,"Ddost",1
"GO:0019787","MF","GO:0019787","ubiquitin-like protein transferase activity","2/37","437/28438",0.110479851162214,0.188794682365809,0.120710830050654,"Rmnd5b/Tnfaip1",2
"GO:0004175","MF","GO:0004175","endopeptidase activity","2/37","447/28438",0.114688976655313,0.193537648105841,0.123743369549153,"Casp4/Psmd14",2
"GO:0048306","MF","GO:0048306","calcium-dependent protein binding","1/37","95/28438",0.116520950410446,0.194201584017409,0.124167874381502,"Vps37b",1
"GO:0004843","MF","GO:0004843","thiol-dependent deubiquitinase","1/37","99/28438",0.121125472766381,0.196018363348351,0.125329479879647,"Psmd14",1
"GO:0016410","MF","GO:0016410","N-acyltransferase activity","1/37","99/28438",0.121125472766381,0.196018363348351,0.125329479879647,"Hat1",1
"GO:0016407","MF","GO:0016407","acetyltransferase activity","1/37","100/28438",0.122272950006497,0.196018363348351,0.125329479879647,"Hat1",1
"GO:0101005","MF","GO:0101005","deubiquitinase activity","1/37","101/28438",0.123418969515628,0.196018363348351,0.125329479879647,"Psmd14",1
"GO:0004197","MF","GO:0004197","cysteine-type endopeptidase activity","1/37","103/28438",0.12570664254075,0.197330194686061,0.126168233639431,"Casp4",1
"GO:0008242","MF","GO:0008242","omega peptidase activity","1/37","107/28438",0.130264574896287,0.202134685183893,0.129240110604906,"Psmd14",1
"GO:0051087","MF","GO:0051087","chaperone binding","1/37","109/28438",0.132534862879401,0.203320528280899,0.129998310479795,"Tsc1",1
"GO:0004540","MF","GO:0004540","ribonuclease activity","1/37","113/28438",0.137058153830512,0.207278078846824,0.13252867419446,"Rnaseh1",1
"GO:0019783","MF","GO:0019783","ubiquitin-like protein-specific protease activity","1/37","114/28438",0.138185385897882,0.207278078846824,0.13252867419446,"Psmd14",1
"GO:0042626","MF","GO:0042626","ATPase-coupled transmembrane transporter activity","1/37","118/28438",0.14268000466392,0.211668138787134,0.13533557411731,"Abcc10",1
"GO:0140677","MF","GO:0140677","molecular function activator activity","1/37","120/28438",0.14491875307951,0.212652518105802,0.135964962843476,"Ddost",1
"GO:0003697","MF","GO:0003697","single-stranded DNA binding","1/37","123/28438",0.148266214126512,0.215225149538485,0.137609842200045,"Blm",1
"GO:0004713","MF","GO:0004713","protein tyrosine kinase activity","1/37","129/28438",0.154922928146566,0.222495694678579,0.142258455856869,"Igf1r",1
"GO:0047485","MF","GO:0047485","protein N-terminus binding","1/37","133/28438",0.159332586507158,0.226419991352277,0.144767557823678,"Tsc1",1
"GO:0016798","MF","GO:0016798","hydrolase activity, acting on glycosyl bonds","1/37","138/28438",0.164813184926667,0.230898885706758,0.147631256358317,"Neil2",1
"GO:0140678","MF","GO:0140678","molecular function inhibitor activity","1/37","139/28438",0.165905125285597,0.230898885706758,0.147631256358317,"Tsc1",1
"GO:0031072","MF","GO:0031072","heat shock protein binding","1/37","147/28438",0.174590784982048,0.240507714005882,0.153774912658732,"Tsc1",1
"GO:0019838","MF","GO:0019838","growth factor binding","1/37","151/28438",0.178900550483626,0.243955296114035,0.155979214669402,"Igf1r",1
"GO:0016922","MF","GO:0016922","nuclear receptor binding","1/37","155/28438",0.183188418206564,0.247304364578862,0.15812052939935,"Asxl1",1
"GO:0016874","MF","GO:0016874","ligase activity","1/37","162/28438",0.190639820303837,0.254815601396217,0.162923035590564,"Aacs",1
"GO:0043021","MF","GO:0043021","ribonucleoprotein complex binding","1/37","168/28438",0.196974060782236,0.258414320471498,0.165223970983726,"Derl2",1
"GO:0015399","MF","GO:0015399","primary active transmembrane transporter activity","1/37","169/28438",0.198025067494336,0.258414320471498,0.165223970983726,"Abcc10",1
"GO:0016853","MF","GO:0016853","isomerase activity","1/37","170/28438",0.199074735770635,0.258414320471498,0.165223970983726,"Ebp",1
"GO:0002020","MF","GO:0002020","protease binding","1/37","184/28438",0.213630480284729,0.270833050649421,0.173164211721267,"Derl2",1
"GO:0008514","MF","GO:0008514","organic anion transmembrane transporter activity","1/37","184/28438",0.213630480284729,0.270833050649421,0.173164211721267,"Slc35b1",1
"GO:0008237","MF","GO:0008237","metallopeptidase activity","1/37","185/28438",0.214660269773986,0.270833050649421,0.173164211721267,"Psmd14",1
"GO:0016829","MF","GO:0016829","lyase activity","1/37","194/28438",0.223869522690772,0.279836903363464,0.178921061019915,"Neil2",1
"GO:0000287","MF","GO:0000287","magnesium ion binding","1/37","209/28438",0.238985284066485,0.295990948155739,0.189249573089829,"Rnaseh1",1
"GO:0016747","MF","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","1/37","228/28438",0.257721181531537,0.315331071094528,0.201615187756345,"Hat1",1
"GO:0061135","MF","GO:0061135","endopeptidase regulator activity","1/37","231/28438",0.260638155775042,0.315331071094528,0.201615187756345,"Psmd14",1
"GO:0008022","MF","GO:0008022","protein C-terminus binding","1/37","232/28438",0.261607999722867,0.315331071094528,0.201615187756345,"Cep135",1
"GO:0003713","MF","GO:0003713","transcription coactivator activity","1/37","253/28438",0.281691134701378,0.336533656501647,0.215171616632632,"Asxl1",1
"GO:0016746","MF","GO:0016746","acyltransferase activity","1/37","260/28438",0.288266638130951,0.341368387260337,0.218262828501736,"Hat1",1
"GO:0061134","MF","GO:0061134","peptidase regulator activity","1/37","265/28438",0.29292753084096,0.341987748126743,0.218658833110276,"Psmd14",1
"GO:0008017","MF","GO:0008017","microtubule binding","1/37","266/28438",0.293856139131127,0.341987748126743,0.218658833110276,"Neil2",1
"GO:0042393","MF","GO:0042393","histone binding","1/37","287/28438",0.3130850578446,0.361251989820692,0.230975931113425,"Hat1",1
"GO:0003924","MF","GO:0003924","GTPase activity","1/37","294/28438",0.319380742239923,0.365393222054149,0.233623736518052,"Tubd1",1
"GO:0061630","MF","GO:0061630","ubiquitin protein ligase activity","1/37","310/28438",0.333560792234708,0.377227078646382,0.241190022994178,"Rmnd5b",1
"GO:0008509","MF","GO:0008509","anion transmembrane transporter activity","1/37","312/28438",0.335312958796784,0.377227078646382,0.241190022994178,"Slc35b1",1
"GO:0061659","MF","GO:0061659","ubiquitin-like protein ligase activity","1/37","321/28438",0.343142397918039,0.382844824123432,0.244781875852799,"Rmnd5b",1
"GO:0061629","MF","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","1/37","329/28438",0.350026513996866,0.38732442122604,0.247646023707878,"Asxl1",1
"GO:0005525","MF","GO:0005525","GTP binding","1/37","358/28438",0.374397898663194,0.410924522923018,0.262735367482943,"Tubd1",1
"GO:0140098","MF","GO:0140098","catalytic activity, acting on RNA","1/37","366/28438",0.380963045848876,0.414589738889692,0.265078819407055,"Rnaseh1",1
"GO:0042277","MF","GO:0042277","peptide binding","1/37","370/28438",0.384220432987108,0.414589738889692,0.265078819407055,"Igf1r",1
"GO:0015631","MF","GO:0015631","tubulin binding","1/37","380/28438",0.392291109287657,0.414589738889692,0.265078819407055,"Neil2",1
"GO:0019001","MF","GO:0019001","guanyl nucleotide binding","1/37","381/28438",0.393092493169486,0.414589738889692,0.265078819407055,"Tubd1",1
"GO:0032561","MF","GO:0032561","guanyl ribonucleotide binding","1/37","381/28438",0.393092493169486,0.414589738889692,0.265078819407055,"Tubd1",1
"GO:0022804","MF","GO:0022804","active transmembrane transporter activity","1/37","396/28438",0.404990576023081,0.423827347000899,0.270985126347553,"Abcc10",1
"GO:0005096","MF","GO:0005096","GTPase activator activity","1/37","405/28438",0.412020159864244,0.427867089089792,0.273568041367352,"Srgap1",1
"GO:0030695","MF","GO:0030695","GTPase regulator activity","1/37","421/28438",0.424318195431097,0.433961790781804,0.277464848687001,"Srgap1",1
"GO:0060589","MF","GO:0060589","nucleoside-triphosphatase regulator activity","1/37","421/28438",0.424318195431097,0.433961790781804,0.277464848687001,"Srgap1",1
"GO:0140297","MF","GO:0140297","DNA-binding transcription factor binding","1/37","431/28438",0.431876988160172,0.438371378959573,0.280284234500468,"Asxl1",1
"GO:0033218","MF","GO:0033218","amide binding","1/37","446/28438",0.443034427889952,0.446340654963757,0.2853796000548,"Igf1r",1
"GO:0003712","MF","GO:0003712","transcription coregulator activity","1/37","480/28438",0.467541084077662,0.467541084077662,0.298934650248486,"Asxl1",1
